      TIME             V(CLK)             V(DT)             V(AQ)             V(BQ)      
   1.71933560e-08    0.00000000e+00    0.00000000e+00   -6.59671089e-06    1.20002316e+00
   1.71983199e-08    0.00000000e+00    0.00000000e+00   -1.17669595e-05    1.20001144e+00
   1.72032839e-08    0.00000000e+00    0.00000000e+00   -1.65203726e-05    1.19999801e+00
   1.72077514e-08    0.00000000e+00    0.00000000e+00   -2.19741166e-05    1.19998318e+00
   1.72117722e-08    0.00000000e+00    0.00000000e+00   -2.81815436e-05    1.19996697e+00
   1.72153613e-08    0.00000000e+00    0.00000000e+00   -3.46273661e-05    1.19995008e+00
   1.72185132e-08    0.00000000e+00    0.00000000e+00   -4.07936724e-05    1.19993336e+00
   1.72213355e-08    0.00000000e+00    0.00000000e+00   -4.63861352e-05    1.19991694e+00
   1.72238757e-08    0.00000000e+00    0.00000000e+00   -5.10995457e-05    1.19990138e+00
   1.72264158e-08    0.00000000e+00    0.00000000e+00   -5.51746694e-05    1.19988626e+00
   1.72289559e-08    0.00000000e+00    0.00000000e+00   -5.83594416e-05    1.19987291e+00
   1.72314960e-08    0.00000000e+00    0.00000000e+00   -6.04769695e-05    1.19986227e+00
   1.72340361e-08    0.00000000e+00    0.00000000e+00   -6.14246685e-05    1.19985472e+00
   1.72365762e-08    0.00000000e+00    0.00000000e+00   -6.11659408e-05    1.19985027e+00
   1.72391163e-08    0.00000000e+00    0.00000000e+00   -5.97063892e-05    1.19984873e+00
   1.72416564e-08    0.00000000e+00    0.00000000e+00   -5.70286835e-05    1.19984974e+00
   1.72441965e-08    0.00000000e+00    0.00000000e+00   -5.30613863e-05    1.19985270e+00
   1.72467366e-08    0.00000000e+00    0.00000000e+00   -4.79142620e-05    1.19985638e+00
   1.72492767e-08    0.00000000e+00    0.00000000e+00   -4.18484268e-05    1.19985924e+00
   1.72518168e-08    0.00000000e+00    0.00000000e+00   -3.48015495e-05    1.19986151e+00
   1.72543569e-08    0.00000000e+00    0.00000000e+00   -2.62223677e-05    1.19986470e+00
   1.72568970e-08    0.00000000e+00    0.00000000e+00   -1.60592017e-05    1.19986979e+00
   1.72594371e-08    0.00000000e+00    0.00000000e+00   -6.01766462e-06    1.19987717e+00
   1.72619773e-08    0.00000000e+00    0.00000000e+00    2.73357724e-06    1.19988695e+00
   1.72645174e-08    0.00000000e+00    0.00000000e+00    1.03780587e-05    1.19989907e+00
   1.72670575e-08    0.00000000e+00    0.00000000e+00    1.73855969e-05    1.19991341e+00
   1.72695976e-08    0.00000000e+00    0.00000000e+00    2.40653801e-05    1.19992974e+00
   1.72718837e-08    0.00000000e+00    0.00000000e+00    2.98553489e-05    1.19994587e+00
   1.72739412e-08    0.00000000e+00    0.00000000e+00    3.48013026e-05    1.19996123e+00
   1.72759986e-08    0.00000000e+00    0.00000000e+00    3.93451344e-05    1.19997702e+00
   1.72780561e-08    0.00000000e+00    0.00000000e+00    4.33239856e-05    1.19999282e+00
   1.72801136e-08    0.00000000e+00    0.00000000e+00    4.65933596e-05    1.20000820e+00
   1.72821711e-08    0.00000000e+00    0.00000000e+00    4.90508613e-05    1.20002278e+00
   1.72842286e-08    0.00000000e+00    0.00000000e+00    5.06461848e-05    1.20003622e+00
   1.72862861e-08    0.00000000e+00    0.00000000e+00    5.13800186e-05    1.20004828e+00
   1.72883436e-08    0.00000000e+00    0.00000000e+00    5.12960735e-05    1.20005880e+00
   1.72904010e-08    0.00000000e+00    0.00000000e+00    5.04700794e-05    1.20006774e+00
   1.72924585e-08    0.00000000e+00    0.00000000e+00    4.89984683e-05    1.20007508e+00
   1.72945160e-08    0.00000000e+00    0.00000000e+00    4.69883075e-05    1.20008089e+00
   1.72965735e-08    0.00000000e+00    0.00000000e+00    4.45491741e-05    1.20008527e+00
   1.72986310e-08    0.00000000e+00    0.00000000e+00    4.17871036e-05    1.20008835e+00
   1.73027460e-08    0.00000000e+00    0.00000000e+00    3.57127720e-05    1.20009122e+00
   1.73068609e-08    0.00000000e+00    0.00000000e+00    2.93641521e-05    1.20009057e+00
   1.73109759e-08    0.00000000e+00    0.00000000e+00    2.32180432e-05    1.20008740e+00
   1.73150909e-08    0.00000000e+00    0.00000000e+00    1.75830281e-05    1.20008260e+00
   1.73192058e-08    0.00000000e+00    0.00000000e+00    1.26281559e-05    1.20007684e+00
   1.73274358e-08    0.00000000e+00    0.00000000e+00    4.91637263e-06    1.20006440e+00
   1.73356657e-08    0.00000000e+00    0.00000000e+00   -9.55179449e-08    1.20005227e+00
   1.73438957e-08    0.00000000e+00    0.00000000e+00   -2.97442020e-06    1.20004155e+00
   1.73521256e-08    0.00000000e+00    0.00000000e+00   -4.36990083e-06    1.20003254e+00
   1.73685855e-08    0.00000000e+00    0.00000000e+00   -4.85529151e-06    1.20001906e+00
   1.73850454e-08    0.00000000e+00    0.00000000e+00   -3.98068308e-06    1.20001039e+00
   1.74015053e-08    0.00000000e+00    0.00000000e+00   -2.94992037e-06    1.20000498e+00
   1.74179652e-08    0.00000000e+00    0.00000000e+00   -2.11278208e-06    1.20000164e+00
   1.74344251e-08    0.00000000e+00    0.00000000e+00   -1.50031315e-06    1.19999962e+00
   1.74492390e-08    0.00000000e+00    0.00000000e+00   -1.10235639e-06    1.19999851e+00
   1.74625715e-08    0.00000000e+00    0.00000000e+00   -8.35098763e-07    1.19999791e+00
   1.74745457e-08    0.00000000e+00    0.00000000e+00   -6.49389843e-07    1.19999758e+00
   1.74853225e-08    0.00000000e+00    0.00000000e+00   -5.15849097e-07    1.19999742e+00
   1.74960993e-08    0.00000000e+00    0.00000000e+00   -4.07232939e-07    1.19999734e+00
   1.75068762e-08    0.00000000e+00    0.00000000e+00   -3.18561282e-07    1.19999733e+00
   1.75176530e-08    0.00000000e+00    0.00000000e+00   -2.45951671e-07    1.19999737e+00
   1.75284298e-08    0.00000000e+00    0.00000000e+00   -1.86350725e-07    1.19999744e+00
   1.75392066e-08    0.00000000e+00    0.00000000e+00   -1.37335598e-07    1.19999753e+00
   1.75499834e-08    0.00000000e+00    0.00000000e+00   -9.69678309e-08    1.19999764e+00
