      TIME              V(A)              V(Y)             I(VVDD)     
   1.02002995e-09    1.20000000e+00    1.20770327e+00   -1.51543596e-04
   1.02005879e-09    1.20000000e+00    1.20641226e+00   -1.51463161e-04
   1.02011647e-09    1.20000000e+00    1.20383069e+00   -1.51300666e-04
   1.02023184e-09    1.20000000e+00    1.19866937e+00   -1.50978704e-04
   1.02046257e-09    1.20000000e+00    1.18835422e+00   -1.50336387e-04
   1.02092403e-09    1.20000000e+00    1.16775577e+00   -1.49061358e-04
   1.02138549e-09    1.20000000e+00    1.14720305e+00   -1.47787998e-04
   1.02184694e-09    1.20000000e+00    1.12669997e+00   -1.46507619e-04
   1.02230840e-09    1.20000000e+00    1.10625029e+00   -1.45225438e-04
   1.02276986e-09    1.20000000e+00    1.08585768e+00   -1.43939405e-04
   1.02323132e-09    1.20000000e+00    1.06552571e+00   -1.42656117e-04
   1.02369278e-09    1.20000000e+00    1.04525790e+00   -1.41372575e-04
   1.02415424e-09    1.20000000e+00    1.02505773e+00   -1.40093923e-04
   1.02461570e-09    1.20000000e+00    1.00492865e+00   -1.38815906e-04
   1.02507716e-09    1.20000000e+00    9.84874081e-01   -1.37542741e-04
   1.02553862e-09    1.20000000e+00    9.64897465e-01   -1.36269536e-04
   1.02600008e-09    1.20000000e+00    9.45002246e-01   -1.35000078e-04
   1.02646154e-09    1.20000000e+00    9.25191900e-01   -1.33729179e-04
   1.02692300e-09    1.20000000e+00    9.05469936e-01   -1.32460417e-04
   1.02738446e-09    1.20000000e+00    8.85839919e-01   -1.31188451e-04
   1.02784592e-09    1.20000000e+00    8.66305474e-01   -1.29916737e-04
   1.02830738e-09    1.20000000e+00    8.46870301e-01   -1.28639830e-04
   1.02876884e-09    1.20000000e+00    8.27538190e-01   -1.27361090e-04
   1.02923030e-09    1.20000000e+00    8.08313028e-01   -1.26074978e-04
   1.02969176e-09    1.20000000e+00    7.89198818e-01   -1.24784760e-04
   1.03015321e-09    1.20000000e+00    7.70199687e-01   -1.23484799e-04
   1.03061467e-09    1.20000000e+00    7.51319905e-01   -1.22178258e-04
   1.03107613e-09    1.20000000e+00    7.32563893e-01   -1.20859391e-04
   1.03153759e-09    1.20000000e+00    7.13936244e-01   -1.19531249e-04
   1.03199905e-09    1.20000000e+00    6.95441732e-01   -1.18187965e-04
   1.03246051e-09    1.20000000e+00    6.77085330e-01   -1.16832470e-04
   1.03292197e-09    1.20000000e+00    6.58872225e-01   -1.15458773e-04
   1.03338343e-09    1.20000000e+00    6.40807831e-01   -1.14069681e-04
   1.03384489e-09    1.20000000e+00    6.22897805e-01   -1.12659085e-04
   1.03430635e-09    1.20000000e+00    6.05148060e-01   -1.11229678e-04
   1.03476781e-09    1.20000000e+00    5.87564777e-01   -1.09775255e-04
   1.03522927e-09    1.20000000e+00    5.70154419e-01   -1.08298424e-04
   1.03569073e-09    1.20000000e+00    5.52923735e-01   -1.06792919e-04
   1.03615219e-09    1.20000000e+00    5.35879769e-01   -1.05261323e-04
   1.03661365e-09    1.20000000e+00    5.19029867e-01   -1.03697377e-04
   1.03707511e-09    1.20000000e+00    5.02381667e-01   -1.02103720e-04
   1.03753657e-09    1.20000000e+00    4.85943101e-01   -1.00474206e-04
   1.03795188e-09    1.20000000e+00    4.71334298e-01   -9.89799983e-05
   1.03836719e-09    1.20000000e+00    4.56908110e-01   -9.74532162e-05
   1.03878251e-09    1.20000000e+00    4.42670859e-01   -9.58987764e-05
   1.03919782e-09    1.20000000e+00    4.28629005e-01   -9.43099936e-05
   1.03961313e-09    1.20000000e+00    4.14789121e-01   -9.26921095e-05
   1.04002845e-09    1.20000000e+00    4.01157864e-01   -9.10388198e-05
   1.04044376e-09    1.20000000e+00    3.87741944e-01   -8.93558065e-05
   1.04081754e-09    1.20000000e+00    3.75857192e-01   -8.78107614e-05
   1.04119132e-09    1.20000000e+00    3.64157188e-01   -8.62418207e-05
   1.04156511e-09    1.20000000e+00    3.52646765e-01   -8.46449297e-05
   1.04193889e-09    1.20000000e+00    3.41330678e-01   -8.30252707e-05
   1.04231267e-09    1.20000000e+00    3.30213571e-01   -8.13792359e-05
   1.04268645e-09    1.20000000e+00    3.19299945e-01   -7.97124674e-05
   1.04306024e-09    1.20000000e+00    3.08594126e-01   -7.80218276e-05
   1.04343402e-09    1.20000000e+00    2.98100223e-01   -7.63134309e-05
   1.04377042e-09    1.20000000e+00    2.88840048e-01   -7.47584431e-05
   1.04410683e-09    1.20000000e+00    2.79757290e-01   -7.31918478e-05
   1.04444323e-09    1.20000000e+00    2.70854370e-01   -7.16120306e-05
   1.04477963e-09    1.20000000e+00    2.62133490e-01   -7.00239916e-05
   1.04511604e-09    1.20000000e+00    2.53596612e-01   -6.84263619e-05
   1.04545244e-09    1.20000000e+00    2.45245446e-01   -6.68243577e-05
   1.04578885e-09    1.20000000e+00    2.37081434e-01   -6.52167965e-05
   1.04612525e-09    1.20000000e+00    2.29105741e-01   -6.36090481e-05
